timestamps,TP9,AF7,AF8,TP10,Right AUX
1642553905.509,41.504,44.434,34.180,40.039,35.156
1642553905.512,28.809,44.922,21.973,36.621,24.414
1642553905.516,23.926,46.387,38.086,28.320,10.742
1642553905.520,33.691,42.480,65.918,30.762,78.613
1642553905.524,38.086,32.715,49.316,34.668,77.637
1642553905.528,33.203,32.715,32.227,30.762,42.969
1642553905.531,28.320,39.551,28.809,32.227,52.246
1642553905.535,41.504,37.109,38.086,32.227,61.523
1642553905.539,52.734,33.203,33.203,33.203,46.387
1642553905.543,45.410,38.574,32.227,41.016,9.277
1642553905.547,34.180,43.457,60.059,26.367,39.062
1642553905.551,29.785,44.922,40.039,14.648,32.715
1642553905.555,28.320,41.016,3.906,13.184,-1.465
1642553905.558,25.879,40.527,6.348,8.789,-12.207
1642553905.562,24.902,35.645,45.410,11.719,0.488
1642553905.566,27.344,32.227,45.410,7.324,30.762
1642553905.570,33.691,35.645,41.992,8.301,27.344
1642553905.574,36.133,34.668,53.711,18.555,-13.184
1642553905.575,20.508,34.180,60.059,20.020,17.090
1642553905.579,4.883,32.715,42.480,15.625,44.434
1642553905.583,8.301,32.227,28.320,10.254,0.000
1642553905.587,20.508,33.691,36.133,15.625,7.324
1642553905.591,20.996,31.250,47.363,25.879,64.453
1642553905.595,11.230,25.391,27.832,22.949,48.828
1642553905.599,5.859,21.484,-9.766,17.090,-26.855
1642553905.602,20.996,23.438,10.742,24.414,-14.160
1642553905.606,31.738,28.809,61.523,34.180,55.176
1642553905.610,21.484,33.203,39.062,33.691,76.172
1642553905.614,28.320,35.645,30.273,30.762,35.645
1642553905.618,40.527,36.133,50.781,32.715,21.973
1642553905.636,36.133,33.691,45.898,34.180,31.250
1642553905.640,28.809,25.879,26.367,28.809,23.926
1642553905.644,30.762,26.367,21.973,22.461,-0.977
1642553905.648,43.945,32.715,41.992,28.320,25.879
1642553905.652,55.176,32.227,41.992,35.645,53.711
1642553905.656,41.504,33.203,8.789,30.273,22.461
1642553905.660,19.531,35.645,4.395,19.531,0.977
1642553905.663,29.297,40.039,27.832,18.066,20.996
1642553905.667,42.480,38.574,41.016,24.414,10.254
1642553905.671,27.832,35.645,16.602,20.508,0.977
1642553905.675,7.324,35.645,3.418,11.230,8.789
1642553905.679,12.695,30.273,32.227,7.324,24.902
1642553905.680,21.973,23.926,22.949,9.277,26.855
1642553905.684,15.625,30.762,14.160,15.625,29.785
1642553905.688,9.766,37.109,24.414,18.555,76.660
1642553905.692,18.066,41.504,26.855,15.625,35.645
1642553905.696,29.297,37.598,22.461,13.672,-12.207
1642553905.700,22.461,29.297,11.230,19.531,5.371
1642553905.704,8.789,30.762,12.695,20.508,7.812
1642553905.707,15.625,29.785,37.598,12.695,7.324
1642553905.711,30.762,20.508,40.039,13.672,14.648
1642553905.715,28.320,18.555,1.953,24.902,-27.344
1642553905.719,20.996,26.855,31.738,28.320,-17.578
1642553905.723,17.578,35.156,65.918,20.508,6.348
1642553905.725,26.855,38.574,33.691,21.973,-11.230
1642553905.729,35.156,42.480,23.438,28.809,11.230
1642553905.733,37.598,38.574,37.109,34.668,10.254
1642553905.737,22.461,30.273,41.016,26.855,12.695
1642553905.741,12.695,30.762,26.367,17.090,20.508
1642553905.745,30.273,30.273,24.414,22.461,5.371
1642553905.749,35.645,33.691,28.320,19.043,8.301
1642553905.752,31.738,30.762,39.551,19.531,35.645
1642553905.756,29.297,31.250,19.531,20.508,-5.371
1642553905.760,41.992,33.691,16.113,21.973,-78.125
1642553905.764,58.105,38.086,60.547,37.598,-39.062
1642553905.768,38.574,41.992,38.574,30.762,1.953
1642553905.770,24.902,39.062,30.762,20.996,4.883
1642553905.774,35.645,41.016,62.988,29.297,7.324
1642553905.778,50.781,41.992,63.965,35.645,53.223
1642553905.782,42.969,37.109,46.875,33.691,34.180
1642553905.786,24.414,31.738,36.621,25.391,6.836
1642553905.790,36.621,30.762,30.273,24.902,11.719
1642553905.794,51.270,33.691,50.781,25.879,20.508
1642553905.797,46.387,35.156,59.570,30.273,40.039
1642553905.801,22.461,35.156,13.672,29.785,11.719
1642553905.805,19.531,37.109,23.438,22.949,2.930
1642553905.809,32.227,38.574,54.688,27.344,17.090
1642553905.813,25.391,32.715,27.832,31.738,21.973
1642553905.815,19.531,32.715,7.812,26.855,5.371
1642553905.819,18.555,37.109,10.742,21.484,0.488
1642553905.823,32.227,37.598,9.766,26.367,14.648
1642553905.827,36.621,27.344,-2.441,36.133,-9.277
1642553905.831,22.949,25.391,-0.977,26.855,-17.578
1642553905.835,19.043,34.180,13.184,18.066,-4.395
1642553905.839,33.203,32.715,28.809,20.508,-6.348
1642553905.842,39.551,35.645,10.254,19.043,-40.527
1642553905.846,26.855,37.598,13.184,12.695,-50.781
1642553905.850,14.648,32.715,52.734,3.906,-16.113
1642553905.854,18.555,35.156,37.598,7.812,4.883
1642553905.858,28.809,35.645,26.367,16.602,57.129
1642553905.860,25.879,33.203,20.996,26.855,52.734
1642553905.864,20.508,30.762,14.160,25.391,20.508
1642553905.868,24.414,29.297,13.672,22.461,31.738
1642553905.872,37.109,36.133,16.113,31.250,35.156
1642553905.876,38.086,43.945,7.324,36.133,24.414
1642553905.880,10.742,48.828,-0.488,28.809,52.246
1642553905.884,2.930,45.898,12.207,26.367,90.332
1642553905.887,10.254,37.109,-8.789,26.855,48.828
1642553905.891,7.812,31.738,9.277,22.949,29.785
1642553905.895,4.883,36.133,52.246,23.926,51.758
1642553905.899,-8.789,32.715,26.855,21.484,32.715
1642553905.903,5.371,23.438,24.902,23.926,29.785
1642553905.905,28.320,27.832,55.176,40.039,54.688
1642553905.909,28.320,30.273,58.105,42.969,64.453
1642553905.913,27.832,32.715,29.297,36.133,25.391
1642553905.917,50.781,32.227,24.414,45.410,26.855
1642553905.921,47.363,23.926,48.340,41.504,45.898
1642553905.925,10.254,20.020,42.969,18.066,27.832
1642553905.929,-16.113,17.090,28.320,5.859,35.156
1642553905.932,-16.602,18.066,27.832,2.930,21.973
1642553905.936,19.531,20.996,63.965,22.461,44.922
1642553905.940,31.250,22.949,79.590,37.598,90.820
1642553905.944,16.602,26.367,46.387,29.297,27.832
1642553905.948,18.066,28.809,45.410,20.020,-11.230
1642553905.950,34.180,26.855,68.359,16.602,34.668
1642553905.954,42.480,24.414,62.012,29.297,49.805
1642553905.958,26.855,25.391,47.363,30.273,29.785
1642553905.962,15.137,26.855,51.270,16.602,25.391
1642553905.966,28.320,22.461,56.152,21.973,-9.277
1642553905.970,34.668,27.344,48.340,29.297,-1.953
1642553905.974,19.043,35.645,29.297,22.461,24.414
1642553905.977,6.836,34.180,48.828,20.996,6.836
1642553905.981,6.836,32.715,77.637,25.879,3.418
1642553905.985,17.578,26.855,50.781,26.367,30.762
1642553905.989,24.902,24.414,29.297,26.855,16.113
1642553905.993,17.090,31.250,41.504,25.391,-4.883
1642553905.996,11.719,35.156,53.223,16.602,6.836
1642553906.000,24.414,37.598,32.227,14.648,11.719
1642553906.004,35.645,38.086,44.922,33.691,11.230
1642553906.008,31.738,33.691,78.125,44.434,9.277
1642553906.012,28.320,31.738,68.359,35.156,24.902
1642553906.016,31.738,26.855,29.785,30.273,8.301
1642553906.020,38.574,26.855,18.555,31.738,7.812
1642553906.023,31.738,23.438,60.547,30.273,26.855
1642553906.027,16.602,17.578,63.477,16.602,20.508
1642553906.031,20.508,22.949,41.504,15.137,-1.465
1642553906.035,32.227,34.180,43.945,25.879,-13.672
1642553906.039,28.320,35.156,49.316,24.902,0.000
1642553906.055,13.184,30.762,36.621,19.043,-10.742
1642553906.059,20.508,32.227,22.949,23.926,-34.180
1642553906.063,27.832,26.367,26.855,29.297,1.465
1642553906.067,25.879,23.926,42.480,32.227,64.453
1642553906.071,33.691,26.855,34.180,36.133,79.590
1642553906.075,26.367,22.949,-14.648,29.785,7.812
1642553906.079,31.250,20.508,4.395,24.902,-21.973
1642553906.082,40.527,26.367,59.082,32.715,31.738
1642553906.086,21.484,32.715,35.645,30.762,41.992
1642553906.090,11.719,32.715,17.578,19.531,18.555
1642553906.094,20.996,32.227,36.133,20.508,0.000
1642553906.098,35.645,35.645,36.133,26.367,-21.484
1642553906.100,33.691,37.598,23.926,32.715,-19.531
1642553906.104,20.508,32.715,31.250,24.414,12.695
1642553906.108,27.832,29.785,46.875,17.090,37.109
1642553906.112,38.574,31.250,47.363,30.273,28.809
1642553906.116,30.762,31.738,25.391,36.133,4.883
1642553906.120,21.484,33.203,22.949,30.273,-2.930
1642553906.124,27.344,29.785,39.551,20.996,-16.602
1642553906.127,35.156,30.273,47.852,21.973,0.000
1642553906.131,35.645,32.227,29.297,23.438,10.742
1642553906.135,31.738,29.297,19.531,20.996,-26.367
1642553906.139,37.109,35.156,58.105,28.809,-25.391
1642553906.143,37.598,36.133,49.316,26.367,-21.484
1642553906.145,32.227,28.320,35.156,25.879,-16.602
1642553906.149,24.414,26.855,42.969,25.391,17.578
1642553906.153,12.695,27.344,33.691,19.043,20.508
1642553906.157,18.066,27.344,23.926,20.996,-18.555
1642553906.161,26.855,25.391,25.391,27.344,-7.812
1642553906.165,20.020,23.438,19.531,31.738,-11.230
1642553906.169,17.578,24.414,25.879,24.414,20.020
1642553906.172,22.949,23.926,28.809,15.625,62.500
1642553906.176,35.156,32.227,7.812,28.320,42.969
1642553906.180,46.387,42.480,25.391,27.344,22.949
1642553906.184,35.645,32.715,54.199,16.602,33.691
1642553906.188,28.809,25.879,17.578,9.766,46.387
1642553906.189,43.457,28.320,18.555,17.090,51.758
1642553906.193,44.922,32.715,48.828,27.344,58.594
1642553906.197,33.691,39.551,38.574,22.949,62.988
1642553906.201,28.320,41.504,16.602,18.555,4.395
1642553906.205,32.227,39.551,18.555,20.996,-8.301
1642553906.209,35.645,31.738,19.531,31.250,38.086
1642553906.213,31.738,27.344,35.645,37.109,61.523
1642553906.216,21.484,32.227,26.367,28.320,51.270
1642553906.220,29.297,35.645,13.184,24.902,7.812
1642553906.224,47.852,33.203,46.387,39.551,2.930
1642553906.228,41.016,31.250,41.016,44.434,12.207
1642553906.232,28.809,32.227,28.809,31.250,8.789
1642553906.235,32.227,32.715,34.668,27.832,10.254
1642553906.239,39.062,42.480,45.898,36.133,4.883
1642553906.243,31.738,43.457,29.297,35.645,-11.230
1642553906.247,10.742,34.180,18.555,31.738,9.277
1642553906.251,11.719,31.738,19.043,28.809,15.625
1642553906.255,28.320,29.297,10.254,31.738,0.977
1642553906.259,23.438,24.902,23.438,35.156,-19.531
1642553906.262,0.000,21.484,17.090,28.320,-29.785
1642553906.266,-1.465,25.391,30.762,19.043,-12.695
1642553906.270,13.672,28.320,53.223,14.160,21.484
1642553906.274,15.137,22.461,26.855,13.184,37.598
1642553906.278,10.742,24.414,13.184,9.277,43.457
1642553906.281,6.348,27.344,0.488,-1.465,20.996
1642553906.285,20.020,25.879,1.953,-4.395,1.465
1642553906.289,32.227,30.273,6.836,4.395,0.488
1642553906.293,31.738,34.668,10.742,11.719,2.441
1642553906.297,32.227,31.738,23.926,12.207,9.277
1642553906.301,33.691,30.273,5.859,9.277,11.719
1642553906.305,41.504,28.809,-9.277,13.672,-5.859
1642553906.308,37.598,17.578,2.441,24.414,-26.367
1642553906.312,24.902,19.043,45.410,27.344,-3.418
1642553906.316,23.438,22.461,46.387,31.738,9.766
1642553906.320,48.340,25.391,33.203,50.781,8.789
1642553906.324,54.199,40.039,41.504,63.965,34.668
1642553906.326,25.879,48.828,46.387,38.574,23.438
1642553906.330,12.207,42.969,34.668,14.648,14.648
1642553906.334,28.809,38.574,19.531,26.855,27.344
1642553906.338,38.086,33.203,20.020,38.086,20.508
1642553906.342,22.461,31.250,31.738,41.504,29.297
1642553906.346,10.742,36.621,27.832,39.551,34.668
1642553906.350,4.395,35.156,-9.766,21.973,1.465
1642553906.353,14.648,27.344,10.254,18.555,32.227
1642553906.357,23.438,30.273,62.012,29.785,124.512
1642553906.361,7.324,38.086,29.297,26.855,73.730
1642553906.365,-1.953,34.668,11.230,14.160,24.902
1642553906.369,8.301,33.203,24.902,14.160,40.039
1642553906.385,12.207,34.180,32.227,20.508,49.805
1642553906.389,-3.906,28.809,21.484,18.555,41.504
1642553906.393,-1.465,21.973,17.090,18.555,-8.789
1642553906.397,14.160,25.391,37.109,19.043,-0.488
1642553906.401,20.020,32.715,32.715,23.438,32.715
